Αρχικό σήμα, FCS, Σήμα προς αποστολή, Λαμβανόμενο σήμα, Έλεγχος από τον αλγόριθμο, Πραγματικός έλεγχος, Bits που αλλοιώθηκαν
11010111110000100101, 10110, 1101011111000010010110110, 1101011111000010010110110, True, True, 0
11101001011111000101, 01111, 1110100101111100010101111, 1110100101111100010101111, True, True, 0
01100011101011100010, 00011, 0110001110101110001000011, 0110001110101110001000011, True, True, 0
00110000110101000011, 11110, 0011000011010100001111110, 0011000011010100001111110, True, True, 0
01010111111001001001, 00001, 0101011111100100100100001, 0101011111100100100100001, True, True, 0
11100110000000110010, 11101, 1110011000000011001011101, 1110011000000011001011101, True, True, 0
10101111110010001100, 11001, 1010111111001000110011001, 1010111111001000110011001, True, True, 0
00100010101011010011, 11010, 0010001010101101001111010, 0010001010101101001111010, True, True, 0
00011101001001000101, 10100, 0001110100100100010110100, 0001110100100100010110100, True, True, 0
00000101011110001001, 11101, 0000010101111000100111101, 0000010101111000100111101, True, True, 0
11111001010011011101, 01000, 1111100101001101110101000, 1111100101001101110101000, True, True, 0
11011001001001011010, 00101, 1101100100100101101000101, 1101100100100101101000101, True, True, 0
00100101101100101001, 01110, 0010010110110010100101110, 0010010110110010100101110, True, True, 0
11000111001010101101, 11010, 1100011100101010110111010, 1100011100101010110111010, True, True, 0
01111000100110001001, 00111, 0111100010011000100100111, 0111100010011000100100111, True, True, 0
00101110111100011010, 00010, 0010111011110001101000010, 0010111011110001101000010, True, True, 0
01110111110111111100, 00001, 0111011111011111110000001, 0111011111011111110000001, True, True, 0
01111110100010000110, 00101, 0111111010001000011000101, 0111111010001000011000101, True, True, 0
10010110100101100011, 10010, 1001011010010110001110010, 1001011010010110001110010, True, True, 0
01011001001101111001, 11100, 0101100100110111100111100, 0101100100110111100111100, True, True, 0
01101101011101110011, 10000, 0110110101110111001110000, 0110110101110111001110000, True, True, 0
10000110010010100000, 11011, 1000011001001010000011011, 1000011001001010000011011, True, True, 0
10111001001011011100, 10000, 1011100100101101110010000, 1011100100101101110010000, True, True, 0
11001011000000111100, 10101, 1100101100000011110010101, 1100101100000011110010101, True, True, 0
00111000110111101000, 01100, 0011100011011110100001100, 0011100011011110100001100, True, True, 0
00010111110100110100, 11000, 0001011111010011010011000, 0001011111010011010011000, True, True, 0
11100010010111011000, 11101, 1110001001011101100011101, 1110001001011101100011101, True, True, 0
10111010100101110111, 01110, 1011101010010111011101110, 1011101010010111011101110, True, True, 0
11110100110010000001, 00001, 1111010011001000000100001, 1111010011001000000100001, True, True, 0
10110000101100100011, 10101, 1011000010110010001110101, 1011000010110010001110101, True, True, 0
00000100010110110101, 00000, 0000010001011011010100000, 0000010001011011010100000, True, True, 0
10100110110111100000, 10001, 1010011011011110000010001, 1010011011011110000010001, True, True, 0
00001110101010101000, 11000, 0000111010101010100011000, 0000111010101010100011000, True, True, 0
10111011010101010100, 00100, 1011101101010101010000100, 1011101101010101010000100, True, True, 0
10100010111100101111, 11110, 1010001011110010111111110, 1010001011110010111111110, True, True, 0
01001110000111111001, 11001, 0100111000011111100111001, 0100111000011111100111001, True, True, 0
00111101111100111001, 11100, 0011110111110011100111100, 0011110111110011100111100, True, True, 0
00001011000101000110, 01110, 0000101100010100011001110, 0000101100010100011001110, True, True, 0
11010100100010011010, 01110, 1101010010001001101001110, 1101010010001001101001110, True, True, 0
11110010111011100101, 00001, 1111001011101110010100001, 1111001011101110010100001, True, True, 0
01000000000101000000, 10101, 0100000000010100000010101, 0100000000010100000010101, True, True, 0
10100111001010110100, 11101, 1010011100101011010011101, 1010011100101011010011101, True, True, 0
01100110010101111001, 11010, 0110011001010111100111010, 0110011001010111100111010, True, True, 0
10001110000011001101, 01110, 1000111000001100110101110, 1000111000001100110101110, True, True, 0
00011010000011110110, 11010, 0001101000001111011011010, 0001101000001111011011010, True, True, 0
10110110010000101100, 01110, 1011011001000010110001110, 1011011001000010110001110, True, True, 0
01111011101101010000, 11001, 0111101110110101000011001, 0111101110110101000011001, True, True, 0
11001100101000010001, 11110, 1100110010100001000111110, 1100110010100001000111110, True, True, 0
10000001110000000010, 00001, 1000000111000000001000001, 1000000111000000001000001, True, True, 0
11100100000100111010, 01110, 1110010000010011101001110, 1110010000010011101001110, True, True, 0
11010010010110110000, 10110, 1101001001011011000010110, 1101001001011011000010110, True, True, 0
11011110010110010110, 00000, 1101111001011001011000000, 1101111001011001011000000, True, True, 0
